id_num,survey_title_num,survey_title,survey_content_num,survey_content,usage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
23,4,강사별 만족도,1,1. 강신천 강사의 교육 프로그램에 대해 전반적으로 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
24,4,강사별 만족도,2,2. 강신천 강사의 강의 내용 수준(어려운 정도)을 어떻게 생각하십니까? ,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
25,4,강사별 만족도,3,3. 강신천 강사의 수업 운영 방법을 어떻게 생각하십니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
26,4,강사별 만족도,4,1. 김창석 강사의 교육 프로그램에 대해 전반적으로 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
27,4,강사별 만족도,5,2. 김창석 강사의 강의 내용 수준(어려운 정도)을 어떻게 생각하십니까? ,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
28,4,강사별 만족도,6,3. 김창석 강사의 수업 운영 방법을 어떻게 생각하십니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
29,4,강사별 만족도,7,1. 허희옥 강사의 교육 프로그램에 대해 전반적으로 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
30,4,강사별 만족도,8,2. 허희옥 강사의 강의 내용 수준(어려운 정도)을 어떻게 생각하십니까? ,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
31,4,강사별 만족도,9,3. 허희옥 강사의 수업 운영 방법을 어떻게 생각하십니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
32,4,강사별 만족도,10,수업 운영 방법에 대해 전반적으로 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,해당사항 없음,,,,,,,,,,,
33,4,강사별 만족도,11,수업 운영 방법에 대해 전반적으로 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,해당사항 없음,,,,,,,,,,,
34,5,기타,1,"1. 본 연수에 대해, 어떤 부분에 대한 개선이 필요하다고 생각하십니까? (중복 응답 가능)",4,강사의 프로그램 운영,강의 내용 및 구성,교구재의 적절한 활용,없음(만족),기타,,,,,,,,,,,,
35,5,기타,2,2. 본 연수 시간에 대해 몇 시간이 적절하다고 생각하십니까?,1,15시간,30시간,45시간,60시간,,,,,,,,,,,,,
36,5,기타,3,3. 다음 연수에 추가되었으면 하는 연수 주제나 프로그램은 무엇입니까?,3,,,,,,,,,,,,,,,,,
37,5,기타,4,"4. 본 연수에 참여하면서 연수 운영과 관련하여 좋았거나 불편했던 점, 개선했으면 하는 점은 무엇입니까?",3,,,,,,,,,,,,,,,,,
